hr,lat,lon,mag,fingure_print
2726,-11.89,-68.09,5.96,769.07684
2727,-13.57,-71.76,5.31,1072.9103
2728,10.56,-24.63,5.62,1856.376
2729,6.51,-32.76,5.35,1601.1958
2730,-5.58,-55.58,6.01,778.0957
2731,3.27,-39.01,5.75,1673.3237
2732,0.48,-44.38,5.9,938.9935
2733,-5.6,-55.84,6.36,826.40283
2734,-7.65,-59.81,6.12,571.11523
2735,-24.05,-101.55,5.69,1200.7023
2736,-24.04,-101.56,3.78,1204.8099
2737,24.97,14.79,5.92,1386.8358
2738,17.3,-9.91,5.71,1243.654
2739,0.35,-44.73,6.03,891.0272
2740,-16.02,-77.72,4.49,859.662
2741,-9.28,-63.2,6.6,610.66174
2742,28.18,48.58,4.96,1139.0896
2743,-8.92,-62.54,6.33,811.82166
2744,5.24,-35.81,6.41,1291.5387
2745,-7.07,-58.97,4.66,645.77905
2746,-15.3,-76.26,4.89,951.9318
2747,8.99,-28.53,5.82,1398.2875
2748,-15.04,-75.77,5.1,1102.4305
2749,-7.15,-59.41,3.85,555.70166
2750,-7.26,-59.65,5.58,551.8032
2751,24.51,11.89,5.05,1294.8646
2752,0.5,-45.11,5.95,953.98
2753,22.11,2.92,5.78,1357.3853
2754,-21.77,-94.0,6.02,2158.689
2755,-5.58,-56.79,6.32,741.192
2756,-8.8,-62.99,5.36,767.25183
2757,18.85,-7.09,6.24,1873.5096
2758,-1.71,-49.59,5.46,1302.718
2759,-13.49,-72.84,5.94,1348.5109
2760,8.78,-29.88,6.65,1200.6675
2761,-15.71,-77.96,5.72,935.5452
2762,-16.29,-79.31,4.76,1091.3584
2763,13.23,-20.92,3.58,1365.3337
2764,-5.21,-56.5,4.79,777.1632
2765,2.72,-41.86,6.29,1451.7113
2766,-7.3,-60.58,4.64,643.49603
2767,-17.78,-83.45,5.97,837.9807
2768,-8.59,-63.34,6.32,689.5702
2769,-11.91,-70.08,5.8,951.2263
2770,-11.12,-68.52,5.03,675.48047
2771,-15.45,-77.99,5.66,994.0768
2772,27.03,23.16,6.35,1792.5698
2773,-11.28,-69.01,2.7,657.9148
2774,-6.57,-59.73,6.46,580.73505
2775,23.16,4.58,6.35,1633.7039
2776,23.9,7.27,5.77,1792.481
2777,15.89,-15.98,3.53,1087.8634
2778,7.46,-33.67,5.89,1784.8721
2779,9.54,-29.74,5.91,1258.8796
2780,13.08,-22.43,6.45,1224.8439
2781,-5.37,-57.82,4.98,870.19727
2782,-5.54,-58.18,4.4,877.8827
2783,26.36,18.04,6.53,1450.8372
2784,26.37,18.04,5.45,1602.1215
2785,-2.85,-53.17,6.09,1313.1382
2786,-6.26,-59.65,5.28,755.7006
2787,-10.91,-68.78,4.66,674.86066
2788,-1.41,-50.67,5.7,1237.8163
2789,-14.03,-75.49,5.85,1403.092
2790,-10.86,-68.82,5.11,692.10095
2791,-11.94,-71.08,5.25,1314.31
2792,22.31,0.71,6.4,1369.854
2793,21.58,-1.57,5.13,1850.1062
2794,-9.42,-66.12,6.3,1232.9371
2795,15.66,-17.63,5.1,1068.8435
2796,-0.13,-49.04,5.45,1176.6133
2797,28.47,46.89,6.41,989.5655
2798,2.51,-44.24,6.55,1265.538
2799,-4.13,-56.54,6.61,1028.2828
2800,-6.03,-60.2,6.01,830.5113
2801,6.89,-36.28,5.99,1630.8252
2802,-5.5,-59.26,5.87,844.5982
2803,-22.69,-99.09,3.98,1569.7698
2804,26.03,14.26,5.8,1520.7505
2805,23.15,2.33,5.19,1368.6193
2806,2.63,-44.41,6.43,1369.6586
2807,5.49,-39.13,6.23,1630.3104
2808,17.78,-13.34,5.03,1562.638
2809,28.26,30.31,6.47,2019.9696
2810,16.97,-15.38,6.02,1208.8536
2811,4.12,-41.81,5.82,1157.7473
2812,-2.06,-53.29,4.96,1143.6642
2813,-17.0,-83.57,6.05,666.0455
2814,-17.0,-83.57,6.6,666.0455
2815,-16.87,-83.37,5.39,679.54175
2816,18.97,-10.91,5.76,1064.7942
2817,14.19,-22.53,6.41,1182.5387
2818,25.75,11.29,4.64,1088.8386
2819,-7.9,-64.86,5.43,506.96017
2820,12.67,-26.17,5.3,993.8388
2821,19.27,-10.85,3.79,1065.5211
2822,-5.92,-61.24,5.38,1079.7065
2823,-7.93,-65.16,5.39,517.15216
2824,-6.94,-63.41,6.6,961.3212
2825,-0.21,-51.09,5.33,1245.0771
2826,-3.46,-56.96,6.19,693.91425
2827,-6.49,-62.62,2.45,1078.4473
2828,11.78,-28.45,4.99,970.3808
2829,-9.49,-68.48,6.31,943.93146
2830,28.69,32.72,5.64,1998.5592
2831,-1.51,-53.58,6.24,1108.229
2832,1.05,-48.99,5.78,1266.9749
2833,4.97,-42.02,5.97,1124.988
2834,-7.52,-64.92,5.35,636.2601
2835,17.15,-17.05,6.54,1004.4074
2836,12.54,-27.31,6.37,899.1938
2837,16.66,-18.29,5.93,1070.309
2838,5.59,-40.95,6.76,1229.9628
2839,-2.81,-56.26,6.05,758.3329
2840,12.76,-26.97,6.41,893.90234
2841,-4.32,-59.12,5.78,1176.7307
2842,-10.0,-69.87,6.97,727.87976
2843,-10.0,-69.87,6.84,727.87976
2844,25.87,10.09,5.72,1073.2717
2845,11.68,-29.52,2.9,1100.5774
2846,17.3,-17.23,5.22,1057.9108
2847,-7.3,-64.96,6.31,648.1415
2848,-27.15,-119.59,6.47,2064.189
2849,26.35,11.67,5.36,1210.2871
2850,-3.36,-57.93,6.56,783.8592
2851,11.28,-30.85,5.25,1333.7317
2852,21.34,-7.14,4.18,1193.9923
2853,-0.49,-52.83,5.63,1293.5231
2854,12.18,-29.05,4.32,1064.159
2855,-3.0,-57.41,5.61,637.1903
2856,-8.22,-67.2,5.9,1292.7792
2857,20.13,-10.83,5.05,1132.0688
2858,14.97,-23.36,6.22,1216.3378
2859,2.67,-47.36,5.79,1614.5901
2860,-2.74,-57.29,5.95,701.6378
2861,20.15,-11.07,5.01,1016.2471
2862,-15.63,-82.72,5.1,962.5741
2863,-5.67,-62.88,5.54,1163.5697
2864,13.88,-26.38,4.54,1300.8676
2865,7.54,-38.99,5.59,1822.4293
2866,4.91,-44.02,5.86,1389.5251
2867,3.58,-46.46,5.75,1390.0093
2868,1.36,-50.57,6.05,1073.2054
2869,-9.59,-70.66,6.58,804.8169
2870,-6.76,-65.36,6.38,472.5339
2871,-6.76,-65.36,7.13,472.5339
2872,24.08,0.01,6.54,1460.0143
2873,-6.54,-65.04,5.77,647.0059
2874,-2.39,-57.67,4.85,813.7406
2875,-9.93,-71.64,5.43,976.59314
2876,6.32,-42.12,6.24,1332.1654
2877,16.44,-21.8,5.42,1555.0752
2878,-11.91,-75.74,3.25,1514.6285
2879,18.95,-16.3,6.54,1249.7474
2880,9.92,-35.88,5.25,1177.3931
2881,-6.0,-64.76,4.65,630.67334
2882,-8.97,-70.46,6.65,913.5848
2883,4.87,-45.5,5.9,1211.7998
2884,-15.79,-84.5,5.87,944.19684
2885,-8.29,-69.46,6.68,592.09827
2886,16.32,-23.19,5.25,1431.2314
2887,10.79,-34.76,5.59,927.94415
2888,-20.45,-95.98,6.39,1772.458
2889,-8.12,-69.25,6.61,558.6612
2890,22.48,-7.44,2.88,929.54767
2891,22.48,-7.44,1.98,929.5477
2892,-16.43,-86.2,5.96,1270.3647
2893,14.21,-28.18,6.28,1456.6016
2894,28.38,18.23,5.92,1394.8501
2895,-8.04,-69.38,6.3,680.90076
2896,22.29,-8.43,5.33,1038.9688
2897,2.52,-50.45,6.21,700.5361
2898,25.89,4.2,6.3,2051.0754
2899,0.06,-54.89,5.66,1103.1907
2900,-2.54,-59.51,5.85,892.31525
