HR,Name,DM,HD,SAO,FK5,IFflag,r_IFflag,Multiple,ADS,ADScomp,VarID,RAh1900,RAm1900,RAs19000,DE-1900,DEd1900,DEm1900,DEs1900,RAh,RAm,RAs,DE-,DEd,DEm,DEs,GLON,GLAT,Vmag,n_Vmag,u_Vmag,B-V,u_B-V,U-B,u_U-B,R-I,n_R-I,SpType,n_SpType,pmRA,pmDE,n_Parallax,Parallax,RadVel,n_RadVel,l_RotVel,RotVel,u_RotVel,Dmag,Sep,MultID,MultCnt,NoteFlag
6792,,BD+49 2732,166228,47233,,,,,11090,,,18,04,36.4,+,49,41,44,18,07,06.3,+,49,42,38,77.37,27.29,6.32,R,,,,,,,,A2V,,-0.002,+0.022,D,+.008,-021,SB,,210,,4.1,2.4,,,
6793,,BD+36 3027,166229,66666,,I,,,,,,18,04,34.1,+,36,23,28,18,08,02.2,+,36,24,05,63.08,23.92,5.48,,,+1.17,,+1.21,,+0.56,,K2.5III,,-0.095,-0.183,,+.009,-007,,,,,,,,,
6794,101    Her,BD+20 3675,166230,85770,,,,,,,,18,04,34.1,+,20,01,46,18,08,52.9,+,20,02,43,46.68,18.10,5.10,,,+0.15,,+0.18,,,,A8III,,+0.008,-0.020,,+.015,-016,V?,,54,,,,,,
6795,73    Oph,BD+03 3610,166233,123187,,,,,11111,,10287,18,04,35.5,+,03,58,35,18,09,33.8,+,03,59,36,31.72,11.13,5.73,,,+0.37,,+0.03,,,,F2V,,+0.038,-0.007,,+.030,-017,V,,94,,1.2,0.3,AB,3,*
6796,,CP-63 4334,166251,254179,,,,W,,,,18,04,39.1,-,63,42,40,18,14,16.2,-,63,41,22,330.71,-20.19,6.47,,,+1.41,,,,,,K4III,,-0.033,-0.051,,,-044,,,,,6.8,19.,,,*
6797,,BD+03 3613,166285,123198,,,,,11113,,,18,04,53.8,+,03,06,26,18,09,54.0,+,03,07,11,30.97,10.66,5.69,,,+0.47,,-0.01,,,,F5V,,+0.022,-0.192,,+.041,-014,SB2,=<,10,,5.2,103.5,AC,3,
6798,,BD-19 4886,166393,161153,,,,,11127,,,18,05,19.2,-,19,51,41,18,11,14.8,-,19,50,32,10.79,-00.50,6.36,,,+0.16,,,,,,A4V,,-0.002,-0.028,D,+.008,-032,,,,,0.4,1.2,AB,3,*
6799,,BD+30 3138,166411,66682,,,,,,,,18,05,20.7,+,30,26,53,18,09,10.2,+,30,28,10,57.04,21.83,6.38,,,+1.19,,+1.22,,+0.61,,gK1,,+0.071,+0.133,,,-080,,,,,,,,,
6800,,BD+03 3620,166460,123212,3445,I,,,,,,18,05,40.5,+,03,18,16,18,10,40.3,+,03,19,27,31.24,10.58,5.51,,,+1.19,,+1.22,,+0.61,,K2III,,+0.021,-0.003,,,+010,,,,,,,,,
6801,11    Sgr,CD-2314047,166464,186437,,I,,,11133,,,18,05,37.2,-,23,43,17,18,11,43.4,-,23,42,04,7.46,-02.45,4.98,,,+1.05,,+0.90,,,,K0III,,+0.017,-0.019,,+.014,+004,,,,,5.7,42.1,,,*
6802,,CD-2814268,166469,186444,,,,,,,V4045 Sgr,18,05,36.8,-,28,55,22,18,11,58.2,-,28,54,05,2.90,-04.98,6.51,,,-0.01,,,,,,B9IVpSrEuCr,,+0.017,-0.005,,,-014,,,,,,,,,*
6803,,BD+16 3390,166479,103443,,,,,11123,,10311,18,05,40.8,+,16,27,27,18,10,08.7,+,16,28,36,43.39,16.40,6.09,R,,,,,,,,B9V+F7III,,-0.004,-0.007,D,+.004,-013,,,,,0.8,1.2,,,*
