HR,Name,GLON,GLON_shifted,GLAT,Vmag
310,74Psi1Psc,127.34,52.66,-41.28,5.34
311,74Psi1Psc,127.35,52.65,-41.28,5.56
312,,123.74,56.26,17.17,6.29
313,77    Psc,129.66,50.34,-57.77,6.35
314,77    Psc,129.68,50.32,-57.77,7.25
315,27    Cet,134.63,45.37,-72.53,6.12
316,,125.06,54.94,-5.87,6.43
317,28    Cet,134.92,45.08,-72.37,5.58
318,,125.3,54.7,-9.3,6.38
319,75    Psc,128.64,51.36,-49.75,6.12
320,,170.31,9.69,-85.44,6.14
321,30Mu  Cas,125.32,54.68,-7.85,5.17
322,Bet Phe,295.51,-115.51,-70.2,3.31
323,,283.32,-103.32,-80.89,6.61
324,41    And,126.08,53.92,-18.83,5.03
325,,172.43,7.57,-85.26,6.37
326,,125.19,54.81,-4.53,5.79
327,78    Psc,127.02,52.98,-30.73,6.25
328,79Psi2Psc,128.13,51.87,-41.96,5.55
329,30    Cet,136.22,43.78,-72.24,5.82
330,80    Psc,130.68,49.32,-56.96,5.52
331,Ups Phe,290.82,-110.82,-75.25,5.21
332,Iot Tuc,299.64,-119.64,-55.25,5.37
333,,123.91,56.09,16.84,5.64
334,31Eta Cet,137.15,42.85,-72.58,3.45
335,42Phi And,126.11,53.89,-15.52,4.25
336,31    Cas,124.68,55.32,5.97,5.29
337,43Bet And,127.1,52.9,-27.1,2.06
338,Zet Phe,297.83,-117.83,-61.71,3.92
339,81Psi3Psc,128.85,51.15,-43,5.55
340,44    And,126.67,53.33,-20.65,5.65
341,,128.29,51.71,-37.22,5.8
342,,125.1,54.9,1.42,5.55
343,33The Cas,125.76,54.24,-7.61,4.33
344,,129.55,50.45,-46.96,6.06
345,32    Cas,125.07,54.93,2.23,5.57
346,32    Cet,137.48,42.52,-71.25,6.4
347,33    Cet,132.54,47.46,-60.07,5.95
348,45    And,127.24,52.76,-24.98,5.81
349,82    Psc,127.84,52.16,-31.26,5.16
350,,298.05,-118.05,-59.26,6.41
351,84Chi Psc,129.18,50.82,-41.59,4.66
352,83Tau Psc,128.12,51.88,-32.58,4.51
353,34    Cet,134.84,45.16,-64.65,5.94
354,,125.5,54.5,-1.06,6.41
355,,126.82,53.18,-17.37,6.11
356,,128.47,51.53,-32.58,6.19
357,,124.08,55.92,17.09,6.26
358,,252.89,-72.89,-84.13,6.52
359,,281.6,-101.6,-78.37,5.92
360,85Phi Psc,129.37,50.63,-38.01,4.65
361,86Zet Psc,132.56,47.44,-54.88,5.24
362,86Zet Psc,132.57,47.43,-54.87,6.3
363,,128.94,51.06,-34.08,6.43
364,87    Psc,130.84,49.16,-46.39,5.98
365,,124.89,55.11,8.97,7.83
366,37    Cet,139.8,40.2,-70.04,5.13
367,88    Psc,133.14,46.86,-55.41,6.03
368,38    Cet,136.01,43.99,-63.25,5.7
369,,127.24,52.76,-14.58,6.61
370,Nu  Phe,290.1,-110.1,-71,4.96
371,,128.91,51.09,-29.47,6.02
372,,127.7,52.3,-17.73,6.34
373,39    Cet,137.75,42.25,-64.64,5.41
374,,129.36,50.64,-30.8,6.73
375,,124.54,55.46,14.79,6.31
376,,127.61,52.39,-15.21,6.25
377,Kap Tuc,299.66,-119.66,-48.1,4.86
378,89    Psc,135.63,44.37,-58.61,5.16
379,,128.93,51.07,-25.17,6.46
380,,298.9,-118.9,-50.53,6.24
381,,124.79,55.21,13.48,6.38
382,34Phi Cas,126.71,53.29,-4.43,4.98
383,90Ups Psc,130.56,49.44,-35.19,4.76
384,35    Cas,126.1,53.9,1.97,6.34
385,42    Cet,138.45,41.55,-62.52,5.87
386,,124.57,55.43,15.96,6.07
387,,140.45,39.55,-65.12,6.23
388,,147.57,32.43,-72.71,6.15
389,91    Psc,130.75,49.25,-33.68,5.23
390,46Xi  And,128.58,51.42,-17,4.88
391,,127.14,52.86,-4.47,6.45
392,,138.75,41.25,-60.18,6.2
393,43    Cet,139.87,40.13,-62.29,6.49
394,,166.13,13.87,-79.24,6.35
395,47    And,129.94,50.06,-24.72,5.58
396,,130.47,49.53,-28.16,6.29
397,,132.99,47.01,-41.78,5.97
398,,125.75,54.25,8.3,6.49
399,36Psi Cas,126.15,53.85,5.47,4.74
400,,243.4,-63.4,-82.02,5.84
401,44    Cet,146.42,33.58,-69.38,6.21
402,45The Cet,146.59,33.41,-69.54,3.6
403,37Del Cas,127.19,52.81,-2.35,2.68
404,,145.55,34.45,-68.33,5.91
405,,158.54,21.46,-76.18,6.14
406,,142.56,37.44,-64.44,6.15
407,,132.98,47.02,-38.69,6.18
408,,279.66,-99.66,-74.1,5.42
409,,129.61,50.39,-18.96,5.96
410,,131,49,-27.75,6.31
411,,284.11,-104.11,-71.36,6.26
