HR,GLAT,GLON,Vmag
388,-72.71,147.57,6.15
389,-33.68,130.75,5.23
390,-17,128.58,4.88
391,-4.47,127.14,6.45
392,-60.18,138.75,6.2
393,-62.29,139.87,6.49
394,-79.24,166.13,6.35
395,-24.72,129.94,5.58
396,-28.16,130.47,6.29
397,-41.78,132.99,5.97
398,8.3,125.75,6.49
399,5.47,126.15,4.74
400,-82.02,243.4,5.84
401,-69.38,146.42,6.21
402,-69.54,146.59,3.6
403,-2.35,127.19,2.68
404,-68.33,145.55,5.91
405,-76.18,158.54,6.14
406,-64.44,142.56,6.15
407,-38.69,132.98,6.18
408,-74.1,279.66,5.42
409,-18.96,129.61,5.96
410,-27.75,131,6.31
411,-71.36,284.11,6.26
412,-75.16,157.07,4.9
413,-42.94,134.19,5.38
414,-42.85,134.31,5.5
415,-27.92,131.25,6.27
416,-61.98,141.83,6.41
417,-17,129.56,4.83
418,-21.26,130.2,6.46
419,-58.16,139.88,6.58
420,-52.37,296.98,5.93
421,-73.67,155.16,5.66
422,-22.01,130.39,6.6
423,-80.59,250.18,5.79
424,26.46,123.28,2.02
425,-71.66,152.44,6.13
426,-53.79,138.54,6.2
427,7.65,126.3,5.81
428,3.53,126.92,6.14
429,-72.17,280.52,3.41
430,-15.35,129.75,5.27
431,-79.59,254.77,6.58
432,-43.57,135.56,6.02
433,-79.72,182.65,5.12
434,-55.43,140.07,4.84
435,-68.99,284.52,6.31
436,-81.25,209.1,5.93
437,-46.43,137.01,3.62
438,-27.33,132.33,6.39
439,-4.09,128.44,5.7
440,-66.75,286.27,3.95
441,-80.63,234.96,5.82
442,-3.19,128.35,4.71
443,-69.89,282.11,6.17
444,-69.39,153.38,6.59
445,-76.89,263.48,5.51
446,-24.85,132.32,5.88
447,-66.06,286.4,6.28
448,-67.53,151.37,5.76
449,11.71,126.09,6.58
450,-43.21,137.11,5.89
451,-74.78,166.32,5.63
452,-21.02,131.88,6.38
453,-79.43,242.3,6.12
454,-13.48,130.54,5.92
455,-46.85,138.71,6.22
456,10.49,126.4,5.28
457,-44.15,137.79,5.8
458,-20.66,132,4.09
459,-74.36,166.61,5.42
460,-58.05,292.01,6.01
461,-4.33,129.11,5.56
462,-79.8,231.37,5.69
463,-49.2,140.16,5.57
464,-13.53,130.81,3.57
465,-16.68,131.53,6.36
466,-69.19,156.7,6.24
467,-38.41,300.26,6.11
468,-57.86,291.74,6.18
469,-17.65,131.89,4.98
470,-8.32,130.16,6.39
471,-76.31,259.18,5.94
472,-58.79,290.84,0.46
473,-77.72,187.04,5.58
474,-79.16,204.39,6.7
475,-44.92,139.37,5.97
476,-18.67,132.35,5.61
477,-21.34,132.92,4.94
478,5.64,127.68,5.59
479,-62.27,287.7,6.84
480,8.18,127.21,5.18
481,-1.23,129.02,6.71
482,-3.59,129.52,6.37
483,-19.3,132.7,4.95
484,-35.78,136.8,6.17
485,-31.58,135.69,5.99
486,-59.66,289.6,5.87
487,-59.66,289.6,5.76
488,-0.84,129.06,6.34
489,-55.22,145.12,4.44
490,-26.49,134.46,5.64
491,-1.68,129.27,5.78
492,-70.26,162.14,5.75
493,-41.01,138.88,5.24
494,-74.8,262.44,6.17
495,-16.59,132.4,6.34
496,-11.33,131.32,4.07
497,-77.84,241.27,5.25
498,-75.56,258.27,5.72
499,-4.61,130,6.21
500,-63.55,152.75,4.99
501,-65.15,283.51,6.64
502,-5.03,130.16,6.25
503,-29.38,135.65,6.34
504,-15.75,132.43,6.35
505,-55.27,292.17,5.71
506,-61.77,286.9,5.52
507,-64.37,154.47,6.19
508,-41.04,139.67,6.27
509,-73.43,173.19,3.5
510,-51.43,144.61,4.26
511,1.66,129.08,5.63
512,-34,301.23,5.87
513,-64.97,156.61,5.34
514,-77.66,206.28,5.31
515,-43.49,141.2,6.55
516,-37.69,299.99,6.33
517,-77.87,217.1,6.39
518,-15.54,133,6.32
519,-64.14,282.92,5.49
520,-61.74,285.68,5.04
521,-23.55,135.2,5.94
522,-43.82,141.89,5.84
523,-28.66,136.65,5.79
524,-71.43,268.52,6.18
525,-32.25,301.7,5.69
526,-13.86,132.86,5.82
527,-56.25,149.17,5.91
528,-74.45,256.59,6.32
529,-9.87,132.18,5.9
530,-38.6,140.39,5.86
531,-68.61,165.48,4.67
532,-76.77,233.7,6.34
533,-6.7,131.57,5.52
534,-49.2,145.58,5.94
535,-73.37,259.3,6.37
536,-10.93,132.64,5.79
537,-66.33,277.77,6.14
538,-10.24,132.58,6.26
539,-68.05,165.88,3.73
540,-6.21,131.72,6.45
541,-64.28,280.7,5.94
542,1.65,129.84,3.38
543,-20.64,135.4,5.4
544,-31.4,138.64,3.41
545,-41.2,142.55,4.83
546,-41.2,142.55,4.75
547,-72.52,180.42,5.8
548,6.55,128.77,4.99
549,-56.18,151.64,4.62
550,-36.63,299.96,6.06
551,-20.59,135.72,6.24
552,-24.03,136.75,6.26
553,-39.68,142.24,2.64
554,-72.71,258.35,6.1
555,-67.22,274.35,4.41
556,-23.84,136.91,5.89
557,-23.85,136.96,5.67
558,-69.99,267.17,5.11
559,-36.96,141.48,5.74
560,-57.13,153.67,6.01
561,-0.14,130.8,6.02
562,-19.48,136.03,6.78
563,-42.3,144.34,5.1
564,-32.81,140.4,5.82
565,-74.52,199.22,4.85
566,-62.67,280.88,3.7
567,2.71,130.16,5.26
568,-12.21,134.06,5.69
569,-36.8,142.04,4.79
570,-48.35,293.93,4.69
571,-54.55,289.48,6.06
572,15.58,126.76,6.04
573,-62.45,280.76,6.1
574,-66,274.84,4.83
575,8.83,128.69,4.54
576,-74.36,239.29,6.35
577,-39.07,143.55,5.87
578,-47.26,147.82,6.09
579,11.68,127.95,6.23
580,10.31,128.38,3.98
581,15,127.06,5.38
582,-55.53,154.33,5.88
583,-73.19,194.6,5.41
584,-50.3,292.2,6.37
585,-73.25,195.47,4
586,3.07,130.42,6
587,-65.25,167.4,5.51
