HR,Color,GLON,GLAT
6905,ffffffff,345.82,-16.68
7190,ffffffff,345.82,-22.64
54,ffffffff,345.8,-78.99
5701,ffffffff,345.78,32.01
8635,ffffffff,345.74,-57.8
5965,ffffffff,345.65,17.47
5129,ffffffff,345.58,73.18
5910,ffffffff,345.57,20
8662,ffffffff,345.57,-58.54
5806,ffffffff,345.55,25.65
7673,ffffffff,345.55,-32.57
5824,ffffffff,345.53,24.77
5564,ffffffff,345.35,40.92
7521,ffffffff,345.27,-29.79
5409,ffffffff,345.22,52.51
8896,ffffffff,345.21,-66.11
6178,ffffffff,345.1,6.38
6210,ffffffff,345.01,5.06
5368,ffffffff,344.97,55.88
116,ffffffff,344.92,-83.15
6460,ffffffff,344.86,-4.62
9001,ffffffff,344.81,-71.2
6044,ffffffff,344.7,12.94
5662,ffffffff,344.68,33.26
5928,ffffffff,344.63,18.27
7411,ffffffff,344.56,-27.45
7213,ffffffff,344.54,-23.35
6283,ffffffff,344.53,1.46
6221,ffffffff,344.46,3.82
5313,ffffffff,344.43,58.61
6380,ffffffff,344.37,-2.3
7093,ffffffff,344.37,-21.3
5554,ffffffff,344.34,40.88
6420,ffffffff,344.34,-3.8
6427,ffffffff,344.32,-3.94
8846,ffffffff,344.28,-64.28
8820,ffffffff,344.27,-62.93
6006,ffffffff,344.22,13.91
7087,ffffffff,344.16,-21.27
6572,ffffffff,344.13,-8.62
8114,ffffffff,344.11,-42.76
8269,ffffffff,344.1,-46.53
6272,ffffffff,344.08,1.49
6513,ffffffff,344.03,-6.77
5622,ffffffff,344,35.62
5275,ffffffff,343.99,61.85
6537,ffffffff,343.98,-7.58
8233,ffffffff,343.97,-45.45
7297,ffffffff,343.88,-25.32
5970,ffffffff,343.74,15.25
6477,ffffffff,343.72,-5.94
5765,ffffffff,343.69,25.31
8140,ffffffff,343.69,-43.32
6122,ffffffff,343.67,8
6007,ffffffff,343.63,13.22
6245,ffffffff,343.62,1.94
5856,ffffffff,343.6,20.69
7134,ffffffff,343.57,-22.35
6265,ffffffff,343.49,1.16
5956,ffffffff,343.46,15.66
6260,ffffffff,343.46,1.22
6263,ffffffff,343.45,1.16
5893,ffffffff,343.36,18.46
7459,ffffffff,343.36,-28.71
6743,ffffffff,343.33,-13.82
6261,ffffffff,343.31,1.1
5801,ffffffff,343.25,23.31
6249,ffffffff,343.22,1.43
6371,ffffffff,343.15,-2.87
7370,ffffffff,343.15,-26.9
6821,ffffffff,343.13,-15.73
6271,ffffffff,343.1,0.79
6214,ffffffff,343.08,3.18
5916,ffffffff,343.07,17.09
8949,ffffffff,343.07,-68.07
5656,ffffffff,343.03,31.96
6262,ffffffff,343.03,0.87
7674,ffffffff,343.02,-32.69
5974,ffffffff,343,14.26
5307,ffffffff,342.99,57.87
6266,ffffffff,342.99,0.73
