HR,GLON,GLAT,Vmag
560,153.67,-57.13,6.01
561,130.8,-0.14,6.02
562,136.03,-19.48,6.78
563,144.34,-42.3,5.1
564,140.4,-32.81,5.82
565,-160.78,-74.52,4.85
566,-79.12,-62.67,3.7
567,130.16,2.71,5.26
568,134.06,-12.21,5.69
569,142.04,-36.8,4.79
570,-66.07,-48.35,4.69
571,-70.52,-54.55,6.06
572,126.76,15.58,6.04
573,-79.24,-62.45,6.1
574,-85.16,-66,4.83
575,128.69,8.83,4.54
576,-120.71,-74.36,6.35
577,143.55,-39.07,5.87
578,147.82,-47.26,6.09
579,127.95,11.68,6.23
580,128.38,10.31,3.98
581,127.06,15,5.38
582,154.33,-55.53,5.88
583,-165.4,-73.19,5.41
584,-67.8,-50.3,6.37
585,-164.53,-73.25,4
586,130.42,3.07,6
587,167.4,-65.25,5.51
588,-95.75,-69.6,5.57
589,130.57,2.59,5.58
590,133.19,-6.97,5.04
591,-70.55,-53.76,2.86
592,127.44,13.9,5.22
593,-61.16,-38.26,6.16
594,-132.34,-74.42,5.35
595,155.35,-55.6,5.23
596,155.35,-55.6,4.33
597,125.99,18.89,6.05
598,130.54,3.32,6.52
599,139.71,-27.25,5.5
600,-67.66,-49.64,6.1
601,148.19,-45.88,5.94
602,-91.13,-67.48,5.14
603,136.96,-18.56,2.26
604,136.97,-18.56,4.84
605,142.61,-34.16,5.63
606,-133.67,-74.19,6.42
607,158.18,-57.75,5.43
608,-178.86,-69.6,5.86
609,146.03,-41.35,6.21
610,158.88,-58.07,5.93
611,162.91,-61.23,5.62
612,-135.11,-73.78,4.69
613,144.78,-37.02,5.03
614,152.67,-50.26,6.31
615,143.52,-34.14,6.15
616,159.58,-57.4,6.28
617,144.57,-36.2,2
618,132.92,-2.94,5.67
619,137.14,-16.27,6.42
620,139.31,-22.55,4.82
621,134.48,-7.25,6.31
622,140.55,-25.2,3
623,144.08,-33.71,4.98
624,148.23,-41.79,6.43
625,-170.71,-69.87,6.1
626,128.58,12.06,6.29
627,133.51,-3.57,6.36
628,139.38,-21.28,5.63
629,139.38,-21.28,6.1
630,-151.69,-72.2,6.48
631,147.4,-39.58,5.7
632,-95.78,-67.31,5.85
633,144.53,-33.57,6.02
634,142.27,-28.32,6.23
635,154.2,-49.39,5.63
636,-95.46,-66.99,6.32
637,-84.01,-61.97,6.12
638,174.54,-64.57,6.01
639,163.52,-58.23,5.93
640,131.08,4.98,6.07
641,133.5,-2.61,6.44
642,142.98,-29.4,4.94
643,138.04,-16.23,4.83
644,145.69,-35.09,5.96
645,135.85,-9.73,5.31
646,147.14,-37.81,5.27
647,137.1,-13.1,6.06
648,150.4,-43.2,5.71
649,154.55,-48.95,4.37
650,164.6,-58.52,5.54
651,-160.89,-70.43,5.86
652,-130.81,-71.84,5.28
653,137.3,-12.69,6.33
654,134.38,-3.91,6.48
655,142.55,-26.27,5.28
656,145.74,-33.33,5.79
657,146.07,-34.01,5.58
658,175.21,-63.45,6.55
659,-102.3,-67.91,5.91
660,142.43,-25.39,4.87
661,134.25,-3.06,5.75
662,134.39,-3.42,5.98
663,138.78,-15.9,6.7
664,142.65,-25.71,4.01
665,147.05,-35.06,6.55
666,171.27,-60.99,5.51
667,-68.43,-47.42,5.55
668,132.36,3.1,6.6
669,149.27,-38.5,5.62
670,137.99,-12.91,5.3
671,138.29,-13.77,6.21
672,162.2,-54.38,5.58
673,137.46,-11.42,6.37
674,-84.65,-60.82,3.56
675,145.22,-30.41,5.03
676,147.8,-35.44,6.46
677,140.79,-19.96,6.63
678,-68.65,-47.45,5.69
679,138.24,-12.89,6.11
680,144.79,-28.89,6.47
681,167.75,-57.98,3.04
682,137.29,-10.21,5.59
683,-145.53,-70.41,6.34
684,169.55,-58.98,6.5
685,135.51,-4.79,5.17
686,-102.08,-66.77,6.37
687,140.8,-18.28,5.82
688,-79.9,-57.09,5.81
689,164.95,-54.92,5.28
690,135.87,-5.17,6.28
691,166.4,-55.9,5.42
692,179.78,-63.15,5.46
693,-166.7,-67.06,5.87
694,137.86,-10.15,5.19
695,-151.15,-69.21,5.2
696,135.62,-3.93,6.25
697,-164.87,-67.2,6.22
698,-99.97,-65.6,6.31
699,137.95,-9.83,4.71
700,-112.85,-68.09,6.53
701,-86.72,-60.44,5.92
702,157.03,-45.99,5.47
703,-145.31,-69.2,6.44
704,169.53,-56.93,6.33
705,-68.75,-46.37,4.09
706,-105.5,-66.45,6.18
707,132.12,6.29,4.52
708,-176.25,-63.35,4.89
709,138.18,-9.42,6.12
710,-170.47,-65.08,5.83
711,147.91,-31.18,6.18
712,145.72,-26.79,5.54
713,-159.99,-67.12,5.88
714,-76.21,-53.2,5.35
715,-65.53,-41.95,5.01
716,136.55,-4.72,6.51
717,146.86,-28.67,5.29
718,159.69,-47.39,4.28
719,165.42,-52.76,6.45
720,146.89,-28.37,5.89
721,-92.88,-62.24,4.25
722,-70.83,-48.04,6.41
723,150.24,-34.16,6.19
724,-123.32,-68.2,5.14
725,159.26,-46.27,6.07
726,145.4,-24.69,6.25
727,-130.64,-68.46,6.11
728,149.62,-32.45,5.92
729,152.63,-37.23,6.15
730,-152.9,-67.27,6.77
731,154.01,-39.09,6.23
732,168.08,-53.68,6
733,-146.48,-67.78,6.51
734,-73,-49.73,6.37
735,-153.14,-67.09,6.1
736,144.74,-22.43,5.15
737,166.25,-51.98,5.25
738,145.62,-23.82,5.83
739,169.94,-54.44,5.35
740,-168.88,-63.78,4.75
741,156.28,-41.18,6.04
742,-117.23,-66.74,6.3
743,130.71,11.58,5.16
744,-121.73,-67,5.9
745,-158.52,-65.57,6.21
746,143.84,-18.95,6.36
747,133.55,5.09,5.78
748,144.92,-21.07,5.71
749,-138.3,-67.34,4.9
750,146.14,-23.44,5.35
751,162.6,-47.26,6.18
752,179.49,-58.87,5.75
753,163.39,-47.62,5.82
754,164.48,-48.67,4.86
755,-89.08,-59.19,6.24
756,144.53,-19.67,5.9
757,147.8,-26.13,6.1
758,146.59,-23.71,5.3
759,179.86,-58.61,5.53
760,144.09,-18.59,6.54
761,147.26,-24.94,6.25
762,-75.35,-50.76,6.77
763,159.13,-42.91,5.68
764,151.47,-32.31,7.09
765,151.49,-32.31,6.5
766,162.83,-46.83,5.81
767,-133.61,-66.88,5.75
768,145.24,-20.47,6.18
769,145.1,-20.13,6.3
770,163.28,-46.66,6.39
771,174.49,-55.25,5.65
772,-122.32,-66.24,5.79
773,153.46,-34.47,5.43
774,127.33,19.59,5.78
775,167.32,-49.96,6.21
776,-62.81,-36.88,5.28
777,-133.25,-66.41,5.83
778,-87.69,-57.82,5.31
779,170.76,-52.21,4.07
780,-114.46,-65.1,6.49
781,-172.81,-60.41,4.84
782,151.02,-29.79,5.3
783,165.32,-47.6,6.25
784,-176.46,-58.84,5.78
785,138.51,-4.35,5.77
786,-132.18,-66.03,6.52
787,139.16,-5.79,5.84
788,144.84,-17.91,4.91
789,-104.33,-62.98,4.75
790,172.42,-52.68,5.71
791,133.34,7.27,5.95
792,141.4,-10.56,6.48
793,155.53,-35.74,5.69
794,-110.7,-64.07,4.11
795,175.53,-54.4,6.05
796,-167.62,-61.45,5.98
797,162.07,-43.53,6.3
798,-74.56,-49.01,6.55
799,141.16,-9.61,4.12
800,143.31,-14.07,5.43
801,151.29,-28.93,4.66
802,-85.57,-56.11,5.21
803,152.53,-30.69,6.35
804,168.92,-49.38,3.47
805,-114.1,-64.29,6.01
806,-71.04,-45.82,4.11
807,-98.04,-60.83,6.1
808,157.47,-37.42,6.46
809,159.22,-39.46,5.77
810,-91.18,-58.33,5.41
811,-168.19,-60.57,4.25
812,161.43,-41.79,5.18
813,163.25,-43.7,4.27
814,-109.7,-63.35,6.36
815,132.89,9.07,6.18
816,168.09,-47.92,6.03
817,-127.75,-65,6.22
818,-159.17,-62.53,4.47
819,147.73,-21.26,6.25
820,147.96,-21.64,6.3
821,-88.9,-57.02,6.15
822,-99.03,-60.49,6.85
823,-72.81,-46.84,6.26
824,151.42,-27.1,4.51
825,138.47,-2.18,6.25
826,-152.56,-63.24,6.49
827,-150.7,-63.39,6.47
828,158.18,-36.45,5.82
829,133.47,8.52,5.8
830,153.91,-30.53,5.86
831,147.54,-19.84,6.45
832,-169.58,-59.04,6.9
833,-75.89,-49.05,5.74
834,139.14,-3.18,3.76
835,-121.01,-63.93,6.51
836,158.93,-37.04,5.22
837,-72.24,-46,4.84
838,152.98,-28.61,3.63
839,138.2,-0.94,6.45
840,147.25,-18.86,4.23
841,-128.21,-64.02,4.46
842,143.38,-11.2,5.88
843,149.07,-21.64,4.53
844,-145.88,-63.29,6.14
845,-138.36,-63.79,5.39
846,140.73,-5.63,6.36
847,161.17,-38.72,5.49
848,-120.59,-63.34,5.92
849,142.83,-9.54,6.26
850,-153.2,-62.09,4.75
851,-120.99,-63.28,5.47
852,-77.25,-49.46,5.26
853,-111.99,-62.21,6.36
854,141.02,-5.74,3.95
855,147.81,-18.55,5.33
856,160.59,-37.33,6.31
857,-167.94,-58.26,6.04
858,-131.86,-63.47,6.4
859,-172.98,-56.35,6.32
860,137.21,2.15,5.59
861,135.96,4.67,6.24
862,-150.04,-61.94,5.95
863,-115.38,-62.12,5.92
864,142.08,-6.89,6.22
865,143.97,-10.53,6.02
866,-77.57,-49.13,6.03
867,159.93,-35.45,5.91
868,-94.54,-57.38,4
869,160.29,-35.62,5.63
870,167.75,-43.37,5.97
871,-93.08,-56.8,6.21
872,-66.65,-39.77,4.75
873,151.88,-23.77,5.11
874,-172.85,-55.31,3.89
875,-179.64,-52.04,5.17
876,148.45,-17.9,6.04
877,171.55,-46.17,6.11
878,158.88,-33.22,5.8
879,148.04,-16.92,4.7
880,-76.25,-47.86,6.56
881,129.08,18.19,5.49
882,150.45,-20.78,4.93
883,-146.54,-61.47,5.45
884,-133.92,-62.31,6.29
885,144.44,-10.22,5.47
