hr,lat,lon,mag,fingure_print
277,-41.44,54.93,6.37,1255.0762
278,8.12,56.32,6.39,1310.6257
279,-74.16,50.51,5.61,1275.4219
280,-87.27,-88.05,4.31,1637.4788
281,-56.41,-121.4,6.23,1357.0913
282,-18.13,55.46,6.84,961.22974
283,-18.13,55.46,6.04,961.22974
284,-56.33,53.31,6.11,1189.366
285,23.4,56.76,4.25,1634.3264
286,26.16,56.87,6.46,1974.1267
287,-11.8,55.32,6.47,1014.73755
288,-78.03,-113.64,5.59,2014.5078
289,-15.45,55.03,6.45,1320.6106
290,-21.47,54.76,5.98,1577.4259
291,-31.0,54.25,5.5,1308.6206
292,-1.76,55.6,5.92,756.1974
293,-84.97,-95.15,5.5,1842.1353
294,-54.87,52.11,4.28,1639.8857
295,-60.07,-120.04,6.11,1625.9282
296,-67.54,49.48,5.43,2413.9004
297,-1.25,55.53,5.84,858.7917
298,-10.32,55.12,5.99,1212.4675
299,-70.6,-117.02,5.36,1566.6927
300,-86.46,-76.19,6.29,1699.5093
301,-61.35,50.61,6.04,2094.183
302,-11.81,54.92,6.54,1045.1049
303,-33.13,53.69,6.19,1254.221
304,-51.63,-121.05,6.21,1599.967
305,-22.81,54.33,6.72,1526.3843
306,24.29,56.73,6.25,1571.311
307,-57.05,50.91,6.0,911.47253
308,-47.8,52.16,5.68,1676.9677
309,-0.06,55.36,6.54,1177.5753
310,-41.28,52.66,5.34,920.2312
311,-41.28,52.65,5.56,919.4077
312,17.17,56.26,6.29,1066.4712
313,-57.77,50.34,6.35,940.036
314,-57.77,50.32,7.25,980.7698
315,-72.53,45.37,6.12,819.44385
316,-5.87,54.94,6.43,1250.6321
317,-72.37,45.08,5.58,821.707
318,-9.3,54.7,6.38,1189.6215
319,-49.75,51.36,6.12,1869.5759
320,-85.44,9.69,6.14,1760.8607
321,-7.85,54.68,5.17,1299.6904
322,-70.2,-115.51,3.31,1712.7249
323,-80.89,-103.32,6.61,2445.621
324,-18.83,53.92,5.03,1190.0258
325,-85.26,7.57,6.37,1696.594
326,-4.53,54.81,5.79,1174.4205
327,-30.73,52.98,6.25,1164.2411
328,-41.96,51.87,5.55,917.81995
329,-72.24,43.78,5.82,815.27356
330,-56.96,49.32,5.52,986.79395
331,-75.25,-110.82,5.21,2234.1296
332,-55.25,-119.64,5.37,1597.8513
333,16.84,56.09,5.64,994.2676
334,-72.58,42.85,3.45,764.6823
335,-15.52,53.89,4.25,1228.1538
336,5.97,55.32,5.29,1280.7825
337,-27.1,52.9,2.06,1784.7246
338,-61.71,-117.83,3.92,1918.5345
339,-43.0,51.15,5.55,1173.2864
340,-20.65,53.33,5.65,1523.2852
341,-37.22,51.71,5.8,1844.447
342,1.42,54.9,5.55,1252.3716
343,-7.61,54.24,4.33,1277.4921
344,-46.96,50.45,6.06,1659.4996
345,2.23,54.93,5.57,1277.4858
346,-71.25,42.52,6.4,961.5204
347,-60.07,47.46,5.95,1639.6975
348,-24.98,52.76,5.81,1572.6224
349,-31.26,52.16,5.16,1012.14075
350,-59.26,-118.05,6.41,1868.963
351,-41.59,50.82,4.66,1151.4702
352,-32.58,51.88,4.51,1041.2175
353,-64.65,45.16,5.94,1315.8169
354,-1.06,54.5,6.41,1139.6886
355,-17.37,53.18,6.11,1214.6584
356,-32.58,51.53,6.19,1062.3909
357,17.09,55.92,6.26,1067.2212
358,-84.13,-72.89,6.52,1749.962
359,-78.37,-101.6,5.92,2164.671
360,-38.01,50.63,4.65,1867.6472
361,-54.88,47.44,5.24,1254.6179
362,-54.87,47.43,6.3,1259.3556
363,-34.08,51.06,6.43,1184.5592
364,-46.39,49.16,5.98,1868.2898
365,8.97,55.11,7.83,1251.7084
366,-70.04,40.2,5.13,1498.851
367,-55.41,46.86,6.03,1127.537
368,-63.25,43.99,5.7,1324.8892
369,-14.58,52.76,6.61,1373.7968
370,-71.0,-110.1,4.96,1510.2421
371,-29.47,51.09,6.02,1414.5073
372,-17.73,52.3,6.34,1142.8408
373,-64.64,42.25,5.41,1128.0
374,-30.8,50.64,6.73,1117.3317
375,14.79,55.46,6.31,1216.1965
376,-15.21,52.39,6.25,1267.4448
377,-48.1,-119.66,4.86,1898.9216
378,-58.61,44.37,5.16,1716.7637
379,-25.17,51.07,6.46,1548.1973
380,-50.53,-118.9,6.24,1813.0525
381,13.48,55.21,6.38,1505.6813
382,-4.43,53.29,4.98,1067.0868
383,-35.19,49.44,4.76,1512.8379
384,1.97,53.9,6.34,1212.0718
385,-62.52,41.55,5.87,1153.8367
386,15.96,55.43,6.07,1064.4087
387,-65.12,39.55,6.23,1272.7482
388,-72.71,32.43,6.15,1750.8577
389,-33.68,49.25,5.23,1357.8907
390,-17.0,51.42,4.88,1087.0248
391,-4.47,52.86,6.45,1006.81165
392,-60.18,41.25,6.2,1587.285
393,-62.29,40.13,6.49,1196.8318
394,-79.24,13.87,6.35,2352.2876
395,-24.72,50.06,5.58,1565.2333
396,-28.16,49.53,6.29,1109.4966
397,-41.78,47.01,5.97,1503.8934
398,8.3,54.25,6.49,1093.1935
399,5.47,53.85,4.74,1361.1478
400,-82.02,-63.4,5.84,1485.9479
401,-69.38,33.58,6.21,1235.6338
402,-69.54,33.41,3.6,1182.4724
403,-2.35,52.81,2.68,1429.7452
404,-68.33,34.45,5.91,1448.9954
405,-76.18,21.46,6.14,1548.0505
406,-64.44,37.44,6.15,1321.6257
407,-38.69,47.02,6.18,2326.7234
408,-74.1,-99.66,5.42,2025.2122
409,-18.96,50.39,5.96,1472.3566
410,-27.75,49.0,6.31,1128.5758
411,-71.36,-104.11,6.26,1392.4161
412,-75.16,22.93,4.9,1469.1885
413,-42.94,45.81,5.38,1026.9315
414,-42.85,45.69,5.5,1115.3713
415,-27.92,48.75,6.27,1069.8462
416,-61.98,38.17,6.41,1448.1843
417,-17.0,50.44,4.83,1224.1411
418,-21.26,49.8,6.46,1185.8181
419,-58.16,40.12,6.58,2016.6345
420,-52.37,-116.98,5.93,1935.28
421,-73.67,24.84,5.66,1568.5793
422,-22.01,49.61,6.6,1322.0865
423,-80.59,-70.18,5.79,1356.4353
424,26.46,56.72,2.02,2047.5299
425,-71.66,27.56,6.13,1621.6714
426,-53.79,41.46,6.2,2135.211
427,7.65,53.7,5.81,1161.2888
428,3.53,53.08,6.14,1410.1072
429,-72.17,-100.52,3.41,1620.1638
430,-15.35,50.25,5.27,1296.916
431,-79.59,-74.77,6.58,1626.3193
432,-43.57,44.44,6.02,1040.0686
433,-79.72,-2.65,5.12,2304.6035
434,-55.43,39.93,4.84,1978.2021
435,-68.99,-104.52,6.31,1620.2913
436,-81.25,-29.1,5.93,2066.5476
437,-46.43,42.99,3.62,1473.889
438,-27.33,47.67,6.39,1164.4138
439,-4.09,51.56,5.7,860.3653
440,-66.75,-106.27,3.95,1427.2527
441,-80.63,-54.96,5.82,1309.2244
442,-3.19,51.65,4.71,1055.8928
443,-69.89,-102.11,6.17,1611.4213
444,-69.39,26.62,6.59,1401.735
445,-76.89,-83.48,5.51,1396.8776
446,-24.85,47.68,5.88,1743.7683
447,-66.06,-106.4,6.28,1316.0039
448,-67.53,28.63,5.76,1652.005
449,11.71,53.91,6.58,1343.8191
450,-43.21,42.89,5.89,1242.6499
451,-74.78,13.68,5.63,1386.8031
452,-21.02,48.12,6.38,964.9393
453,-79.43,-62.3,6.12,1317.6362
454,-13.48,49.46,5.92,1385.5635
455,-46.85,41.29,6.22,1597.4124
456,10.49,53.6,5.28,1321.0343
457,-44.15,42.21,5.8,1295.3674
458,-20.66,48.0,4.09,1045.7268
459,-74.36,13.39,5.42,1466.1783
460,-58.05,-112.01,6.01,1040.4724
461,-4.33,50.89,5.56,762.75525
462,-79.8,-51.37,5.69,1441.4272
463,-49.2,39.84,5.57,2113.4138
464,-13.53,49.19,3.57,1335.2205
465,-16.68,48.47,6.36,1023.74927
466,-69.19,23.3,6.24,1607.3584
467,-38.41,-120.26,6.11,1318.8783
468,-57.86,-111.74,6.18,1198.4155
469,-17.65,48.11,4.98,965.35583
470,-8.32,49.84,6.39,1631.4434
471,-76.31,-79.18,5.94,1094.7601
472,-58.79,-110.84,0.46,1046.9012
473,-77.72,-7.04,5.58,2363.1191
474,-79.16,-24.39,6.7,1866.7797
475,-44.92,40.63,5.97,1297.6747
476,-18.67,47.65,5.61,1218.8772
477,-21.34,47.08,4.94,1184.1565
478,5.64,52.32,5.59,1344.8531
479,-62.27,-107.7,6.84,1276.2976
480,8.18,52.79,5.18,1231.6554
481,-1.23,50.98,6.71,1113.8026
482,-3.59,50.48,6.37,971.01984
483,-19.3,47.3,4.95,1217.3225
484,-35.78,43.2,6.17,2569.524
485,-31.58,44.31,5.99,1973.3892
486,-59.66,-109.6,5.87,1045.8679
487,-59.66,-109.6,5.76,1045.8679
488,-0.84,50.94,6.34,1228.6785
489,-55.22,34.88,4.44,2108.9043
490,-26.49,45.54,5.64,1788.0459
491,-1.68,50.73,5.78,1126.8788
492,-70.26,17.86,5.75,1641.5548
493,-41.01,41.12,5.24,1509.9093
494,-74.8,-82.44,6.17,1259.4349
495,-16.59,47.6,6.34,888.5123
496,-11.33,48.68,4.07,1266.4211
497,-77.84,-61.27,5.25,1723.0609
498,-75.56,-78.27,5.72,998.8027
499,-4.61,50.0,6.21,934.55115
500,-63.55,27.25,4.99,2213.4102
501,-65.15,-103.51,6.64,1223.2961
502,-5.03,49.84,6.25,987.9923
503,-29.38,44.35,6.34,1708.4991
504,-15.75,47.57,6.35,981.29144
505,-55.27,-112.17,5.71,1561.4652
506,-61.77,-106.9,5.52,1268.6788
507,-64.37,25.53,6.19,2051.3254
508,-41.04,40.33,6.27,1275.9724
509,-73.43,6.81,3.5,1967.9314
510,-51.43,35.39,4.26,2387.3098
511,1.66,50.92,5.63,958.4981
512,-34.0,-121.23,5.87,1864.0126
513,-64.97,23.39,5.34,2031.5963
514,-77.66,-26.28,5.31,2021.1974
515,-43.49,38.8,6.55,1382.8418
516,-37.69,-119.99,6.33,1295.403
517,-77.87,-37.1,6.39,2065.9976
518,-15.54,47.0,6.32,999.29474
519,-64.14,-102.92,5.49,1167.3234
520,-61.74,-105.68,5.04,1297.1675
521,-23.55,44.8,5.94,1401.8943
522,-43.82,38.11,5.84,1327.735
523,-28.66,43.35,5.79,1798.7888
524,-71.43,-88.52,6.18,1737.8783
525,-32.25,-121.7,5.69,2240.023
526,-13.86,47.14,5.82,1449.1942
527,-56.25,30.83,5.91,1624.6318
528,-74.45,-76.59,6.32,1020.97943
529,-9.87,47.82,5.9,1294.9976
530,-38.6,39.61,5.86,1504.7522
531,-68.61,14.52,4.67,1679.4436
532,-76.77,-53.7,6.34,1830.7166
533,-6.7,48.43,5.52,1247.8044
534,-49.2,34.42,5.94,2134.4443
535,-73.37,-79.3,6.37,1313.6508
536,-10.93,47.36,5.79,1175.883
537,-66.33,-97.77,6.14,1407.4904
538,-10.24,47.42,6.26,1239.9209
539,-68.05,14.12,3.73,1765.4446
540,-6.21,48.28,6.45,1289.0333
541,-64.28,-100.7,5.94,1199.1968
542,1.65,50.16,3.38,838.79315
543,-20.64,44.6,5.4,1202.3474
544,-31.4,41.36,3.41,1933.3107
545,-41.2,37.45,4.83,1073.7444
546,-41.2,37.45,4.75,1073.7444
547,-72.52,-0.42,5.8,2193.1023
548,6.55,51.23,4.99,1523.3228
549,-56.18,28.36,4.62,1204.087
550,-36.63,-119.96,6.06,1417.1306
551,-20.59,44.28,6.24,1122.054
552,-24.03,43.25,6.26,1087.6068
553,-39.68,37.76,2.64,1235.1968
554,-72.71,-78.35,6.1,1575.3303
555,-67.22,-94.35,4.41,1599.5193
556,-23.84,43.09,5.89,1119.12
557,-23.85,43.04,5.67,1068.3601
558,-69.99,-87.17,5.11,1480.132
559,-36.96,38.52,5.74,1432.6426
560,-57.13,26.33,6.01,1178.8289
561,-0.14,49.2,6.02,1291.6538
562,-19.48,43.97,6.78,1115.4958
563,-42.3,35.66,5.1,1293.9213
564,-32.81,39.6,5.82,1730.9956
565,-74.52,-19.22,4.85,1827.3496
566,-62.67,-100.88,3.7,1256.8264
567,2.71,49.84,5.26,736.7632
568,-12.21,45.94,5.69,1460.6925
569,-36.8,37.96,4.79,1363.087
570,-48.35,-113.93,4.69,1261.5922
571,-54.55,-109.48,6.06,1722.8823
572,15.58,53.24,6.04,1376.1738
573,-62.45,-100.76,6.1,1311.3219
574,-66.0,-94.84,4.83,1604.6592
575,8.83,51.31,4.54,1499.6415
576,-74.36,-59.29,6.35,2192.5999
