hr,lat,lon,mag,fingure_print
394,-79.24,13.87,6.35,2213.6038
395,-24.72,50.06,5.58,1286.042
396,-28.16,49.53,6.29,878.3646
397,-41.78,47.01,5.97,1273.4369
398,8.3,54.25,6.49,858.3214
399,5.47,53.85,4.74,1122.1338
400,-82.02,-63.4,5.84,1283.0543
401,-69.38,33.58,6.21,966.8706
402,-69.54,33.41,3.6,987.6867
403,-2.35,52.81,2.68,1106.7096
404,-68.33,34.45,5.91,1152.6421
405,-76.18,21.46,6.14,1371.2709
406,-64.44,37.44,6.15,1201.5173
407,-38.69,47.02,6.18,2010.699
408,-74.1,-99.66,5.42,1852.1467
409,-18.96,50.39,5.96,1249.6512
410,-27.75,49.0,6.31,867.3117
411,-71.36,-104.11,6.26,1153.754
412,-75.16,22.93,4.9,1256.4573
413,-42.94,45.81,5.38,866.39496
414,-42.85,45.69,5.5,850.9125
415,-27.92,48.75,6.27,878.09674
416,-61.98,38.17,6.41,1157.5322
417,-17.0,50.44,4.83,932.89453
418,-21.26,49.8,6.46,1005.3881
419,-58.16,40.12,6.58,1685.5955
420,-52.37,-116.98,5.93,1725.6628
421,-73.67,24.84,5.66,1336.2136
422,-22.01,49.61,6.6,1076.1014
423,-80.59,-70.18,5.79,1168.1648
424,26.46,56.72,2.02,1007.30115
425,-71.66,27.56,6.13,1334.8623
426,-53.79,41.46,6.2,1863.4093
427,7.65,53.7,5.81,925.72644
428,3.53,53.08,6.14,1238.108
429,-72.17,-100.52,3.41,1373.6646
430,-15.35,50.25,5.27,1093.6428
431,-79.59,-74.77,6.58,1439.9402
432,-43.57,44.44,6.02,871.2605
433,-79.72,-2.65,5.12,2093.4438
434,-55.43,39.93,4.84,1712.4062
435,-68.99,-104.52,6.31,1304.3809
436,-81.25,-29.1,5.93,1948.976
437,-46.43,42.99,3.62,1343.2434
438,-27.33,47.67,6.39,975.88
439,-4.09,51.56,5.7,644.1987
440,-66.75,-106.27,3.95,1258.4711
441,-80.63,-54.96,5.82,1129.491
442,-3.19,51.65,4.71,744.8759
443,-69.89,-102.11,6.17,1286.7955
444,-69.39,26.62,6.59,1147.2645
445,-76.89,-83.48,5.51,1253.4329
446,-24.85,47.68,5.88,1467.312
447,-66.06,-106.4,6.28,1179.1938
448,-67.53,28.63,5.76,1351.538
449,11.71,53.91,6.58,1142.3572
450,-43.21,42.89,5.89,981.77716
451,-74.78,13.68,5.63,1199.7329
452,-21.02,48.12,6.38,730.6843
453,-79.43,-62.3,6.12,1046.5494
454,-13.48,49.46,5.92,1086.3416
455,-46.85,41.29,6.22,1368.4716
456,10.49,53.6,5.28,1062.3083
457,-44.15,42.21,5.8,1003.71204
458,-20.66,48.0,4.09,754.4746
459,-74.36,13.39,5.42,1230.2607
460,-58.05,-112.01,6.01,895.3143
461,-4.33,50.89,5.56,568.6671
462,-79.8,-51.37,5.69,1306.0048
463,-49.2,39.84,5.57,1945.0488
464,-13.53,49.19,3.57,1039.5361
465,-16.68,48.47,6.36,763.30444
466,-69.19,23.3,6.24,1333.2727
467,-38.41,-120.26,6.11,1147.7983
468,-57.86,-111.74,6.18,901.87396
469,-17.65,48.11,4.98,788.90247
470,-8.32,49.84,6.39,1508.4988
471,-76.31,-79.18,5.94,951.8574
472,-58.79,-110.84,0.46,858.32245
473,-77.72,-7.04,5.58,2083.3691
474,-79.16,-24.39,6.7,1596.8506
475,-44.92,40.63,5.97,1071.3523
476,-18.67,47.65,5.61,895.88086
477,-21.34,47.08,4.94,1004.16003
478,5.64,52.32,5.59,1134.7086
479,-62.27,-107.7,6.84,1122.9362
480,8.18,52.79,5.18,974.8709
481,-1.23,50.98,6.71,801.69354
482,-3.59,50.48,6.37,663.8156
483,-19.3,47.3,4.95,887.02924
484,-35.78,43.2,6.17,2298.9746
485,-31.58,44.31,5.99,1804.5797
486,-59.66,-109.6,5.87,857.95667
487,-59.66,-109.6,5.76,857.95667
488,-0.84,50.94,6.34,888.56384
489,-55.22,34.88,4.44,1896.6758
490,-26.49,45.54,5.64,1513.4232
491,-1.68,50.73,5.78,805.63416
492,-70.26,17.86,5.75,1486.167
493,-41.01,41.12,5.24,1265.0146
494,-74.8,-82.44,6.17,932.60254
495,-16.59,47.6,6.34,680.96204
496,-11.33,48.68,4.07,1026.1573
497,-77.84,-61.27,5.25,1389.6543
498,-75.56,-78.27,5.72,812.5928
499,-4.61,50.0,6.21,702.81055
500,-63.55,27.25,4.99,1902.8229
501,-65.15,-103.51,6.64,957.9712
502,-5.03,49.84,6.25,799.3441
503,-29.38,44.35,6.34,1473.6445
504,-15.75,47.57,6.35,734.11145
505,-55.27,-112.17,5.71,1430.6025
506,-61.77,-106.9,5.52,1014.7871
507,-64.37,25.53,6.19,1721.0244
508,-41.04,40.33,6.27,1093.4308
509,-73.43,6.81,3.5,1768.7778
510,-51.43,35.39,4.26,2086.6843
511,1.66,50.92,5.63,909.03107
512,-34.0,-121.23,5.87,1535.2661
513,-64.97,23.39,5.34,1709.155
514,-77.66,-26.28,5.31,1681.2753
515,-43.49,38.8,6.55,1121.0354
516,-37.69,-119.99,6.33,1009.2589
517,-77.87,-37.1,6.39,1773.5177
518,-15.54,47.0,6.32,850.5198
519,-64.14,-102.92,5.49,901.8556
520,-61.74,-105.68,5.04,1023.46826
521,-23.55,44.8,5.94,1175.9701
522,-43.82,38.11,5.84,1154.9425
523,-28.66,43.35,5.79,1486.0924
524,-71.43,-88.52,6.18,1600.495
525,-32.25,-121.7,5.69,1477.4513
526,-13.86,47.14,5.82,1106.136
527,-56.25,30.83,5.91,1445.786
528,-74.45,-76.59,6.32,875.89764
529,-9.87,47.82,5.9,988.06323
530,-38.6,39.61,5.86,1209.7433
531,-68.61,14.52,4.67,1518.3416
532,-76.77,-53.7,6.34,1532.0486
533,-6.7,48.43,5.52,1008.8812
534,-49.2,34.42,5.94,1863.8826
535,-73.37,-79.3,6.37,983.75415
536,-10.93,47.36,5.79,892.76483
537,-66.33,-97.77,6.14,1216.449
538,-10.24,47.42,6.26,933.31635
539,-68.05,14.12,3.73,1587.1921
540,-6.21,48.28,6.45,1008.36646
541,-64.28,-100.7,5.94,921.51294
542,1.65,50.16,3.38,711.7573
543,-20.64,44.6,5.4,1014.50543
544,-31.4,41.36,3.41,1704.5798
545,-41.2,37.45,4.83,856.94275
546,-41.2,37.45,4.75,856.94275
547,-72.52,-0.42,5.8,1965.6951
548,6.55,51.23,4.99,1269.148
549,-56.18,28.36,4.62,978.8886
550,-36.63,-119.96,6.06,1086.6884
551,-20.59,44.28,6.24,985.21765
552,-24.03,43.25,6.26,888.89307
553,-39.68,37.76,2.64,938.3135
554,-72.71,-78.35,6.1,1238.0546
555,-67.22,-94.35,4.41,1401.4548
556,-23.84,43.09,5.89,874.3281
557,-23.85,43.04,5.67,875.7299
558,-69.99,-87.17,5.11,1246.4716
559,-36.96,38.52,5.74,1137.0913
560,-57.13,26.33,6.01,1022.1649
561,-0.14,49.2,6.02,1184.6523
562,-19.48,43.97,6.78,905.9822
563,-42.3,35.66,5.1,1109.2174
564,-32.81,39.6,5.82,1557.103
565,-74.52,-19.22,4.85,1626.1042
566,-62.67,-100.88,3.7,930.547
567,2.71,49.84,5.26,467.2356
568,-12.21,45.94,5.69,1352.4114
569,-36.8,37.96,4.79,1065.7607
570,-48.35,-113.93,4.69,1154.4867
571,-54.55,-109.48,6.06,1492.3496
572,15.58,53.24,6.04,1080.1327
573,-62.45,-100.76,6.1,966.1926
574,-66.0,-94.84,4.83,1326.5833
575,8.83,51.31,4.54,1205.2999
576,-74.36,-59.29,6.35,1866.7744
577,-39.07,36.45,5.87,1165.463
578,-47.26,32.18,6.09,1928.6053
579,11.68,52.05,6.23,910.2051
580,10.31,51.62,3.98,1010.138
581,15.0,52.94,5.38,1057.5911
582,-55.53,25.67,5.88,825.9651
583,-73.19,-14.6,5.41,1457.5306
584,-50.3,-112.2,6.37,1305.1227
585,-73.25,-15.47,4.0,1421.5609
586,3.07,49.58,6.0,522.0667
587,-65.25,12.6,5.51,1971.6548
588,-69.6,-84.25,5.57,1224.3757
589,2.59,49.43,5.58,512.12164
590,-6.97,46.81,5.04,1204.1647
591,-53.76,-109.45,2.86,1605.237
592,13.9,52.56,5.22,1105.6682
593,-38.26,-118.84,6.16,1057.5725
594,-74.42,-47.66,5.35,1106.2421
595,-55.6,24.65,5.23,798.8201
596,-55.6,24.65,4.33,798.8202
597,18.89,54.01,6.05,1326.9392
598,3.32,49.46,6.52,587.32434
599,-27.25,40.29,5.5,1501.6548
600,-49.64,-112.34,6.1,1058.3135
601,-45.88,31.81,5.94,1877.2019
602,-67.48,-88.87,5.14,1218.7042
603,-18.56,43.04,2.26,941.52686
604,-18.56,43.03,4.84,942.38525
605,-34.16,37.39,5.63,959.7817
606,-74.19,-46.33,6.42,1130.7909
607,-57.75,21.82,5.43,1015.0982
608,-69.6,-1.14,5.86,2338.6885
609,-41.35,33.97,6.21,1175.7933
610,-58.07,21.12,5.93,1077.9708
611,-61.23,17.09,5.62,1963.1521
612,-73.78,-44.89,4.69,1289.1302
613,-37.02,35.22,5.03,1045.8628
614,-50.26,27.33,6.31,1929.7339
615,-34.14,36.48,6.15,716.01843
616,-57.4,20.42,6.28,1077.158
617,-36.2,35.43,2.0,994.1006
618,-2.94,47.08,5.67,684.70416
619,-16.27,42.86,6.42,1090.9744
620,-22.55,40.69,4.82,1156.1982
621,-7.25,45.52,6.31,1359.8872
622,-25.2,39.45,3.0,1204.8629
623,-33.71,35.92,4.98,605.74835
624,-41.79,31.77,6.43,1384.5767
625,-69.87,-9.29,6.1,1836.627
626,12.06,51.42,6.29,1026.9387
627,-3.57,46.49,6.36,505.23273
628,-21.28,40.62,5.63,1092.7919
629,-21.28,40.62,6.1,1092.7919
630,-72.2,-28.31,6.48,1805.1567
631,-39.58,32.6,5.7,1219.2157
632,-67.31,-84.22,5.85,1038.024
633,-33.57,35.47,6.02,612.1311
634,-28.32,37.73,6.23,1193.3993
635,-49.39,25.8,5.63,1609.5985
636,-66.99,-84.54,6.32,1066.5747
637,-61.97,-95.99,6.12,1222.2325
638,-64.57,5.46,6.01,1675.2325
639,-58.23,16.48,5.93,1156.5526
640,4.98,48.92,6.07,1128.7484
641,-2.61,46.5,6.44,586.2367
642,-29.4,37.02,4.94,1303.0647
643,-16.23,41.96,4.83,1024.3632
644,-35.09,34.31,5.96,799.681
645,-9.73,44.15,5.31,1137.1599
646,-37.81,32.86,5.27,1185.7603
647,-13.1,42.9,6.06,614.4653
648,-43.2,29.6,5.71,1965.3352
649,-48.95,25.45,4.37,1512.8176
650,-58.52,15.4,5.54,1181.1267
651,-70.43,-19.11,5.86,1809.2281
652,-71.84,-49.19,5.28,1631.2487
653,-12.69,42.7,6.33,536.76044
654,-3.91,45.62,6.48,550.32776
655,-26.27,37.45,5.28,926.55347
656,-33.33,34.26,5.79,776.4401
657,-34.01,33.93,5.58,691.0884
658,-63.45,4.79,6.55,1551.1692
659,-67.91,-77.7,5.91,1209.4038
660,-25.39,37.57,4.87,965.98315
661,-3.06,45.75,5.75,483.82837
662,-3.42,45.61,5.98,478.0337
663,-15.9,41.22,6.7,1190.2627
664,-25.71,37.35,4.01,914.9363
665,-35.06,32.95,6.55,835.6925
666,-60.99,8.73,5.51,1854.3314
667,-47.42,-111.57,5.55,785.7971
668,3.1,47.64,6.6,1126.5175
669,-38.5,30.73,5.62,1470.4513
670,-12.91,42.01,5.3,481.01288
671,-13.77,41.71,6.21,751.2749
672,-54.38,17.8,5.58,1534.1111
673,-11.42,42.54,6.37,785.47577
674,-60.82,-95.35,3.56,1253.0465
